,name,Full name,Born,Major teams,Position,Span,Mat,Start,Sub,Pts,Tries,Conv,Pens,Drop,GfM,Won,Lost,Draw,%,Died,Height,Weight,Current age,Other,Relations,Nickname,Also known as,Goals,Links
0,A. Bover,A. Bover,date unknown,Argentina,Prop,1910-1910,1,1,0,0,0,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0,0,0,0
1,A. Donelly,A. Donelly,date unknown,Argentina,Hooker,1910-1910,1,1,0,0,0,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0,0,0,0
2,Oswald Gebbie,Oswald St J. Gebbie,"February 9, 1878, Florencia Varela",Argentina,Centre,1910-1910,1,1,0,0,0,0,0,0,0,0,1,0,0.00,"November 13, 1956 (aged 78 years 278 days)",0,0,0,0,0,0,0,0,0
3,L.H. Gribbell,L.H. Gribbell,date unknown,Argentina,Flanker,1910-1910,1,1,0,0,0,0,0,0,0,0,1,0,0.00,,0,0,0,0,0,0,0,0,0
4,Fairy Heatlie,Barry Heatlie Heatlie,"April 25, 1872, Worcester, Cape Prov","Argentina, South Africa",Forward,1891-1910,7,7,0,6,0,3,0,0,0,2,4,1,35.71,"August 19, 1951, Cape Town (aged 79 years 116 days)",0,0,0,0,0,0,0,0,0
5,F. Henrys,F. Henrys,date unknown,Argentina,Lock,1910-1910,1,1,0,0,0,0,0,0,0,0,1,0,0.00,,0,0,0,0,0,0,0,0,0
6,Frank Heriot,Frank de Courcy M. Heriot,"February 1, 1882, Manila, Philippine",Argentina,Centre,1910-1910,1,1,0,0,0,0,0,0,0,0,1,0,0.00,"August 7, 1956, Buenos Aires (aged 74 years 188 days)",6 ft 1 in,213 lb,0,0,0,0,0,0,0
7,W.H. Hyman,W.H. Hyman,date unknown,Argentina,Flanker,1910-1910,1,1,0,0,0,0,0,0,0,0,1,0,0.00,,,,0,0,0,0,0,0,0
8,C.J. MacCarthy,C.J.M. MacCarthy,date unknown,Argentina,Wing,1910-1910,1,1,0,3,1,0,0,0,0,0,1,0,0.00,,,,0,0,0,0,0,0,0
9,Carlos Mold,Charles Trevor Mold,"July 20, 1885",Argentina,Fly-half,1910-1910,1,1,0,0,0,0,0,0,0,0,1,0,0.00,,,,133 years 114 days,0,0,0,0,0,0
10,Alvan Reid,Alvan Reid,date unknown,Argentina,Prop,1910-1910,1,1,0,0,0,0,0,0,0,0,1,0,0.00,,,,,0,0,0,0,0,0
11,J.E. Saffery,J.E. Saffery,date unknown,Argentina,Fullback,1910-1910,1,1,0,0,0,0,0,0,0,0,1,0,0.00,,,,,0,0,0,0,0,0
12,Frederick Sawyer,Frederick William Campion Sawyer,"(guess: regd Q3), Reigate, Surrey",Argentina,Lock,1910-1910,1,1,0,0,0,0,0,0,0,0,1,0,0.00,"April 4, 1917, Aisne (aged 29 years 232 days)",,,,0,0,0,0,0,0
13,Henry Talbot,Henry F. Talbot,"date unknown, Rosario",Argentina,Wing,1910-1910,1,1,0,0,0,0,0,0,0,0,1,0,0.00,,,,,0,0,0,0,0,0
14,Arnaldo Watson-Hutton,W.Arnaldo Watson-Hutton,date unknown,Argentina,Scrum-half,1910-1910,1,1,0,0,0,0,0,0,0,0,1,0,0.00,,,,,0,0,0,0,0,0
15,W. Braddon,W.E. Braddon,date unknown,Argentina,Wing,1927-1927,1,1,0,0,0,0,0,0,0,0,1,0,0.00,,,,,0,0,0,0,0,0
16,Enrique Bustamante,Enrique Bustamante,date unknown,Argentina,Prop,1927-1927,4,4,0,0,0,0,0,0,0,0,4,0,0.00,,,,,0,0,0,0,0,0
17,Ray Cameron,Raimundo A. Cameron,date unknown,Argentina,Prop,1927-1936,3,3,0,0,0,0,0,0,0,0,3,0,0.00,,,,,0,0,0,0,0,0
18,Jorge Conrard,Jorge Conrard,date unknown,Argentina,Hooker,1927-1927,2,2,0,0,0,0,0,0,0,0,2,0,0.00,,,,,0,0,0,0,0,0
19,Reginald Cooper,Reginald E. Cooper,"date unknown, Buenos Aires",Argentina,Scrum-half,1927-1927,4,4,0,0,0,0,0,0,0,0,4,0,0.00,,,,,0,0,0,0,0,0
20,Jose Cuesta Silva,Jose Cuesta Silva,date unknown,Argentina,Lock,1927-1927,4,4,0,0,0,0,0,0,0,0,4,0,0.00,,,,,0,0,0,0,0,0
21,Antonio Hobson,Antonio W.F. Hobson,date unknown,Argentina,Flanker,1927-1927,1,1,0,0,0,0,0,0,0,0,1,0,0.00,,,,,0,0,0,0,0,0
22,Fabio Lucioni,Fabio Lucioni,date unknown,Argentina,Centre,1927-1927,1,1,0,0,0,0,0,0,0,0,1,0,0.00,,,,,0,0,0,0,0,0
23,Miguel McCormick,Miguel McCormick,"date unknown, Buenos Aires",Argentina,Flanker,1927-1927,1,1,0,0,0,0,0,0,0,0,1,0,0.00,,,,,0,0,0,0,0,0
24,Antonio Pasalagua,Antonio Pasalagua,date unknown,Argentina,No. 8,1927-1927,2,2,0,0,0,0,0,0,0,0,2,0,0.00,,,,,0,0,0,0,0,0
25,Cesar Pollano,Cesar Pollano,date unknown,Argentina,Fullback,1927-1927,1,1,0,0,0,0,0,0,0,0,1,0,0.00,,,,,0,0,0,0,0,0
26,Arturo Rodriguez Jurado,Arturo J. Rodriguez Jurado,"May 26, 1907, Buenos Aires",Argentina,Centre,1927-1936,8,8,0,0,0,0,0,0,0,2,6,0,25.00,"November 22, 1982 (aged 75 years 180 days)",,,,0,0,0,0,0,0
27,Rodolfo Serra,Rodolfo Serra,date unknown,Argentina,Lock,1927-1927,3,3,0,0,0,0,0,0,0,0,3,0,0.00,,,,,0,0,0,0,0,0
28,Cesar Vazquez,Cesar S. Vazquez,date unknown,Argentina,Wing,1927-1927,3,3,0,0,0,0,0,0,0,0,3,0,0.00,,,,,0,0,0,0,0,0
29,Alberto Zappa,Alberto Zappa,date unknown,Argentina,Fly-half,1927-1927,1,1,0,0,0,0,0,0,0,0,1,0,0.00,,,,,0,0,0,0,0,0
30,Martin Ayerra,Martin Ayerra,date unknown,Argentina,Wing,1927-1927,1,1,0,0,0,0,0,0,0,0,1,0,0.00,,,,,0,0,0,0,0,0
31,Roberto Botting,Roberto F. Botting,date unknown,Argentina,No. 8,1927-1927,3,3,0,0,0,0,0,0,0,0,3,0,0.00,,,,,0,0,0,0,0,0
32,G.E.F. Cooke,G.E.F. Cooke,date unknown,Argentina,Wing,1927-1927,1,1,0,0,0,0,0,0,0,0,1,0,0.00,,,,,0,0,0,0,0,0
33,Marco Hernandez,Marco T. Hernandez,date unknown,Argentina,Centre,1927-1927,3,3,0,0,0,0,0,0,0,0,3,0,0.00,,,,,0,0,0,0,0,0
34,A. Jacobs,A.G. Jacobs,date unknown,Argentina,Fullback,1927-1927,2,2,0,0,0,0,0,0,0,0,2,0,0.00,,,,,0,0,0,0,0,0
35,Carlos Reyes,Carlos A. Reyes,date unknown,Argentina,Centre,1927-1927,3,3,0,0,0,0,0,0,0,0,3,0,0.00,,,,,0,0,0,0,0,0
36,Alfredo Riganti,Alfredo Riganti,date unknown,Argentina,Prop,1927-1927,3,3,0,0,0,0,0,0,0,0,3,0,0.00,,,,,0,0,0,0,0,0
37,Julian Sommer,Julian Sommer,date unknown,Argentina,No. 8,1927-1927,1,1,0,0,0,0,0,0,0,0,1,0,0.00,,,,,0,0,0,0,0,0
